"Vestiging Uniek nr.";"Vestiging Naam";"Vestiging Straat";"Vestiging Huisnr.";"Vestiging Postcode";"Vestiging Gemeente";"Smiley code";"Smiley geldig tot";"Vandaag"
"2127745478";"Colruyt Ledeberg";"Edmond Van Hoorebekestraat";"69";"9050";"Gent";"2026NL00357";"2026/01/23 00:00:00";"2026/01/23 00:00:00"
"2074132588";"Delannoye Geert";"De Smet De Naeyerlaan";"2";"8420";"De Haan";"2026NL00007";"2026/02/06 00:00:00";"2026/01/23 00:00:00"
"2067268057";"Diner Privé";"Alfons Gossetlaan";"52";"1702";"Dilbeek";"2026NL00501";"2026/02/19 00:00:00";"2026/01/23 00:00:00"
"2164537182";"DUFRAIS VERLAINE";"Grand-Route(VER)";"252";"4537";"Verlaine";"2026FR00053";"2026/02/07 00:00:00";"2026/01/23 00:00:00"
"2138281856";"PZ Onzelievevrouw";"Koning Albert I-laan";"8";"8200";"Brugge";"2026NL00010";"2026/02/15 00:00:00";"2026/01/23 00:00:00"
"2135515871";"ALDI MARKT";"Haachtsesteenweg";"1248-1250";"1140";"Evere";"2026FR00052";"2026/03/07 00:00:00";"2026/01/23 00:00:00"
"2090561816";"ALDI";"Chaussée de Charleroi";"127";"6150";"Anderlues";"2027FR00122";"2027/03/21 00:00:00";"2026/01/23 00:00:00"
"2090565180";"ALDI";"Chaussée de Maubeuge (C.)";"482";"7000";"Mons";"2027FR00117";"2027/03/09 00:00:00";"2026/01/23 00:00:00"
"2090560826";"ALDI";"Rue Campinaire(PL)";"80";"6250";"Aiseau-Presles";"2027FR00125";"2027/03/31 00:00:00";"2026/01/23 00:00:00"
"2003772748";"ALDI MARKT";"Luchthavenlei";"7";"2100";"Deurne";"2027NL00074";"2027/02/19 00:00:00";"2026/01/23 00:00:00"
"2090562113";"ALDI";"Route Charlemagne";"23";"5660";"Couvin";"2027FR00115";"2027/03/25 00:00:00";"2026/01/23 00:00:00"
"2134841227";"BOTTARGA";"Albert I-Promenade";"64";"8400";"Oostende";"2027NL00214";"2027/03/29 00:00:00";"2026/01/23 00:00:00"
"2127747854";"Colruyt Izegem";"Nederweg";"119";"8870";"Izegem";"2026NL00404";"2026/08/13 00:00:00";"2026/01/23 00:00:00"
"2127756861";"Colruyt Verviers";"Boulevard des Gérardchamps";"60";"4800";"Verviers";"2026FR00110";"2026/08/09 00:00:00";"2026/01/23 00:00:00"
"2127754980";"Colruyt Sint-Niklaas";"Nijverheidsstraat";"54";"9100";"Sint-Niklaas";"2028NL00492";"2028/12/09 00:00:00";"2026/01/23 00:00:00"
"2149611357";"WZC Sint-Vincentius";"Vrouwstraat";"1";"9970";"Kaprijke";"2026NL00074";"2026/07/28 00:00:00";"2026/01/23 00:00:00"
"2137215648";"De Verfijning";"Stationsstraat";"32";"8790";"Waregem";"2026NL00053";"2026/06/01 00:00:00";"2026/01/23 00:00:00"
"2081468263";"PREGO";"Lammerdries-Oost";"53";"2250";"Olen";"2026NL00075";"2026/07/27 00:00:00";"2026/01/23 00:00:00"
"2127746468";"Colruyt Ben-Ahin";"Chaussée de Dinant";"5";"4500";"Ben-Ahin";"2026FR00112";"2026/08/13 00:00:00";"2026/01/23 00:00:00"
"2127741322";"Colruyt  Kalmthout";"Kapellensteenweg (C)";"186";"2920";"Kalmthout";"2026NL00406";"2026/08/13 00:00:00";"2026/01/23 00:00:00"
"2060067588";"MARKET Heusden 102";"Koolmijnlaan";"51";"3550";"Heusden-Zolder";"2026NL00258";"2026/03/28 00:00:00";"2026/01/23 00:00:00"
"2153877179";"CARREFOUR EXPRESS";"Sur-Champt";"17";"5530";"Yvoir";"2026FR00403";"2026/10/25 00:00:00";"2026/01/23 00:00:00"
"2006297619";"Carrefour";"rue de Rochefort";"37";"5570";"Beauraing";"2026FR00437";"2026/11/13 00:00:00";"2026/01/23 00:00:00"
"2151097239";"GSK (W23, W23 VIP, W33, W21 Atrium, W32-35, Cuisine du W31)";"Avenue Fleming";"20";"1300";"Wavre";"2026FR00090";"2026/04/13 00:00:00";"2026/01/23 00:00:00"
"2320345215";"ALDI";"Waverse steenweg";"1805";"1160";"Oudergem";"2026NL00301";"2026/02/06 00:00:00";"2026/01/23 00:00:00"
"2298452117";"Buurtslagers";"Heernisplein";"24";"9040";"Gent";"2027NL00079";"2027/02/17 00:00:00";"2026/01/23 00:00:00"
"2297787864";"Buurtslagers";"Elslo";"73";"9940";"Evergem";"2027NL00078";"2027/03/01 00:00:00";"2026/01/23 00:00:00"
"2288030753";"Proxy Delhaize";"H. Consciencelaan";"53";"9950";"Lievegem";"2027NL00213";"2027/02/26 00:00:00";"2026/01/23 00:00:00"
"2306186876";"BUURTSLAGERS";"Pr. Thuysbaertlaan";"6";"9160";"Lokeren";"2027NL00081";"2027/03/14 00:00:00";"2026/01/23 00:00:00"
