h3_index,mean_rating,mean_residual,total_reviews,mean_reviews,chain_share,mean_price,cuisine_diversity,restaurant_count,hub_score,cluster,cluster_label,hex_lat,hex_lng
881fa44001fffff,4.069230769230769,0.0101714126865001,2497,192.07692307692307,0.0,1.9230769230769231,7,13,-0.01080406287832307,1,Strong,50.896316163653374,4.328962705481018
881fa44003fffff,3.3545454545454545,-0.004522084182492972,14615,1328.6363636363637,0.0,2.090909090909091,5,11,1.1768966622663646,0,Emerging,50.895540688385566,4.341064657639433
881fa44005fffff,4.3,0.029981878458830824,153,76.5,0.0,2.0,2,2,-0.9297583803128532,1,Strong,50.890134326305734,4.3206551851433375
881fa44007fffff,4.3,-0.04355340911149663,5820,582.0,0.0,2.0,7,10,0.31917762387272647,1,Strong,50.889359406145886,4.3327554366189425
881fa44009fffff,4.5,-0.17017741308812928,9,4.5,0.0,2.0,1,2,-1.336525314014727,1,Strong,50.90327195207026,4.325169302565907
881fa4400bfffff,4.333333333333333,0.008761480824264645,3043,1014.3333333333334,0.0,2.0,3,3,0.20381433042559144,1,Strong,50.90249724624423,4.337272209660952
881fa4400dfffff,3.935714285714286,-0.017849818477517827,10827,773.3571428571429,0.35714285714285715,2.0,8,14,1.3778691048970375,0,Emerging,50.897090314331464,4.3168614995744665
881fa44011fffff,4.189473684210526,0.013477080438494236,5004,263.36842105263156,0.10526315789473684,1.894736842105263,8,19,0.4105861275570906,1,Strong,50.900943859569125,4.361480259952366
881fa44013fffff,4.95,0.13189578102998878,91,45.5,0.0,2.0,1,2,-1.1521313678310232,1,Strong,50.90016517819511,4.373585401125419
881fa44015fffff,4.25,-0.005827587837779679,3940,394.0,0.0,1.8,7,10,0.03694847460967468,1,Strong,50.894763888265295,4.3531673550387735
881fa44017fffff,4.55,0.0843210745362204,190,95.0,0.0,2.0,2,2,-0.9212924481790721,1,Strong,50.89398576303013,4.365270796667796
881fa44019fffff,4.576923076923077,0.009768176695263087,2928,225.23076923076923,0.0,2.0,5,13,-0.29528975528866425,1,Strong,50.90790098700335,4.357689051442106
881fa4401bfffff,4.433333333333334,-0.028707719168942287,607,202.33333333333334,0.0,2.0,2,3,-0.8536998492667479,1,Strong,50.90712307489542,4.369795148984063
881fa4401dfffff,4.699999999999999,0.048246451297080384,1131,565.5,0.0,2.5,1,2,-0.3025704536179044,1,Strong,50.90172121549805,4.349375862460275
881fa44021fffff,4.29,0.005699722213771708,2939,293.9,0.0,1.8,7,10,-0.07096243786099775,1,Strong,50.87699457820514,4.316142944535584
881fa44023fffff,4.3375,0.004887842781918672,6452,403.25,0.0,1.9375,6,16,0.08132318217768357,1,Strong,50.87621944328889,4.328240541403449
881fa44025fffff,4.3500000000000005,-0.02663017500770652,3079,256.5833333333333,0.08333333333333333,2.0,7,12,0.1314052383436582,1,Strong,50.87081103346421,4.307839672750682
881fa44027fffff,3.96,-0.009348476191229782,7373,737.3,0.1,2.0,7,10,0.7459340997138497,0,Emerging,50.870036452875325,4.31993556935824
881fa44029fffff,4.2444444444444445,-0.0008225104549302031,2013,223.66666666666666,0.0,2.0,5,9,-0.2935075542605547,1,Strong,50.88395173468128,4.312349648286736
881fa4402bfffff,4.1571428571428575,-0.02012222747454822,2102,300.2857142857143,0.0,1.7142857142857142,6,7,-0.2798334089413992,1,Strong,50.88317736925906,4.324448199037952
881fa4402dfffff,5.0,0.11061157817133171,4,4.0,0.0,2.0,1,1,-1.239763804498982,1,Strong,50.87776838926006,4.304046094549833
881fa44031fffff,4.4,-0.0021157447566492182,4317,269.8125,0.0,1.8125,7,16,-0.02895189306463801,1,Strong,50.88162466557679,4.348647538537097
881fa44035fffff,4.15,0.07437293800941447,467,233.5,0.0,1.5,2,2,-0.9908815569933634,2,Elite,50.87544298424856,4.340338884143848
881fa44037fffff,4.18,0.002248391619722412,4992,332.8,0.06666666666666667,1.8666666666666667,9,15,0.46857696083106043,1,Strong,50.87466520082163,4.352437971746808
881fa44039fffff,4.314285714285714,-0.0030807670386968473,3586,256.14285714285717,0.0,1.7857142857142858,8,14,0.05572685816831914,1,Strong,50.888583161463934,4.344856433883067
881fa4403bfffff,3.3,0.2440389333298394,3,3.0,0.0,2.0,1,1,-0.7663345473585516,1,Strong,50.887805591997335,4.356958175925039
881fa44041fffff,4.378571428571428,-0.02788143143513861,3327,237.64285714285714,0.07142857142857142,2.0,7,14,0.11514169391122488,1,Strong,50.91099938293114,4.3092721128332645
881fa44045fffff,4.54,-0.016724382629351275,1241,248.2,0.0,2.0,4,5,-0.5319764080034333,1,Strong,50.90481739001352,4.300965729532414
