priority,name,address,lat,lng,cuisine,google_maps_link,rating,review_count,added
0,Acropolis,"Brussels, Belgium",50.8209161,4.5118652,Greek,"https://www.google.com/maps/search/Acropolis+Brussels,+Belgium",,,
0,Fairuz,"Stationsstraat 21, 1930, Zaventem",50.8797144,4.4725724,Lebanese,"https://www.google.com/maps/search/Fairuz+Stationsstraat+21,+1930,+Zaventem",,,
0,Snack New Bienfaiteurs,"Brussels, Belgium",50.8584574,4.3843661,Turkish,"https://www.google.com/maps/search/Snack+New+Bienfaiteurs+Brussels,+Belgium",,,
0,Istanbul,"Brussels, Belgium",50.8624988,4.515084,Turkish,"https://www.google.com/maps/search/Istanbul+Brussels,+Belgium",,,
0,La Spartiate,"Brussels, Belgium",50.900237,4.3283509,Greek,"https://www.google.com/maps/search/La+Spartiate+Brussels,+Belgium",,,
0,Snack Felix,"Brussels, Belgium",50.8506835,4.392094,Turkish,"https://www.google.com/maps/search/Snack+Felix+Brussels,+Belgium",,,
0,Rodos Palace,"Brussels, Belgium",50.9058363,4.3073983,Greek,"https://www.google.com/maps/search/Rodos+Palace+Brussels,+Belgium",,,
0,Acropolis,"Brussels, Belgium",50.8691124,4.3283387,Greek,"https://www.google.com/maps/search/Acropolis+Brussels,+Belgium",,,
0,Villa Duoro,"Ninoofsesteenweg 628, 1701, Itterbeek",50.8408298,4.2285259,Portuguese,"https://www.google.com/maps/search/Villa+Duoro+Ninoofsesteenweg+628,+1701,+Itterbeek",,,
0,Village du Vietnam,"Brussels, Belgium",50.8434965,4.4102091,Vietnamese,"https://www.google.com/maps/search/Village+du+Vietnam+Brussels,+Belgium",,,
0,Antigone,"Brussels, Belgium",50.832669,4.3282157,Greek,"https://www.google.com/maps/search/Antigone+Brussels,+Belgium",,,
0,O Beyrouth,"Brussels, Belgium",50.8530973,4.391313,Lebanese,"https://www.google.com/maps/search/O+Beyrouth+Brussels,+Belgium",,,
0,Chao,"Brussels, Belgium",50.8183613,4.3846897,Vietnamese,"https://www.google.com/maps/search/Chao+Brussels,+Belgium",,,
0,Knossos,"Brussels, Belgium",50.8368816,4.3878363,Greek,"https://www.google.com/maps/search/Knossos+Brussels,+Belgium",,,
0,Ellinikon,"Brussels, Belgium",50.8380965,4.3969123,Greek,"https://www.google.com/maps/search/Ellinikon+Brussels,+Belgium",,,
0,Idea,"Brussels, Belgium",50.8387393,4.3707296,Greek,"https://www.google.com/maps/search/Idea+Brussels,+Belgium",,,
